codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose1_grupo16,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280120,Canindé de São Francisco,30402,278,703,1214,4095,1975,4161,1869,471,0,0,343,807,1217,0,393,68,12,0,3,3,24,820,0,354,0,0,333,768,381,0,0,25,8,0
280130,Capela,34514,564,1121,2006,6518,2473,6158,2068,733,0,0,572,1102,1744,0,583,44,17,0,2,0,23,1338,0,602,0,0,243,862,313,0,0,34,14,0
280140,Carira,22239,450,956,1559,4292,2622,4311,2540,310,0,0,509,961,1669,0,0,17,17,0,0,0,17,811,0,271,0,0,488,954,818,0,0,2,7,0
280150,Carmópolis,16937,117,294,770,2091,1011,2114,685,380,0,0,133,327,736,0,0,60,8,0,1,1,9,393,66,256,0,0,47,157,189,0,0,29,7,0
280160,Cedro de São João,5913,140,291,399,1313,717,1204,746,151,0,0,117,308,366,0,0,9,7,0,0,0,3,243,0,130,0,0,52,305,248,0,0,7,4,0
280170,Cristinápolis,18029,202,496,876,2767,1587,2485,1379,313,0,0,292,489,762,0,0,12,6,0,0,0,32,579,0,301,0,0,153,445,470,0,0,7,3,0
280190,Cumbe,3998,94,198,262,1099,474,931,456,75,0,0,98,198,244,0,188,8,0,0,0,0,20,100,0,70,0,0,39,196,144,0,0,7,0,0
280200,Divina Pastora,5215,69,155,317,898,468,765,441,135,0,0,78,150,238,0,0,13,1,0,0,0,24,126,0,116,0,0,32,146,137,0,0,9,1,0
280210,Estância,69556,1093,2308,4544,13773,5878,12625,5083,2031,33,0,1269,2405,4109,0,261,291,26,0,34,90,42,2034,0,1427,33,0,1128,1709,506,0,203,59,18,0
280220,Feira Nova,5601,100,217,383,1043,623,837,460,75,0,0,100,232,299,0,0,8,1,0,0,0,26,96,0,77,0,0,99,200,76,0,0,7,1,0
280230,Frei Paulo,15556,294,608,994,2995,1675,2897,1582,228,0,0,307,593,973,0,183,14,3,0,3,6,130,408,49,207,0,0,293,574,499,0,0,9,0,0
280240,Gararu,11601,203,448,701,2068,1253,1731,1101,144,4,0,257,516,695,0,0,14,6,0,0,0,0,95,0,132,4,0,245,496,214,0,0,6,4,0
280250,General Maynard,3384,47,109,207,633,353,679,330,108,0,0,52,106,209,0,0,26,2,0,0,0,54,122,0,98,0,0,21,106,103,0,0,2,0,0
280260,Gracho Cardoso,5824,150,281,469,1303,813,1297,771,118,0,0,166,282,469,0,0,13,5,0,0,0,30,214,0,94,0,0,166,274,230,0,0,3,4,0
280270,Ilha das Flores,8521,170,275,452,1747,692,1602,642,132,0,0,187,274,502,0,313,13,5,0,0,0,13,163,0,110,0,0,81,262,181,0,0,6,2,0
280280,Indiaroba,18149,221,453,850,2562,1312,1973,1049,241,0,0,281,448,730,0,117,50,10,0,0,0,0,96,0,225,0,0,113,390,283,0,0,30,8,0
280290,Itabaiana,96142,1449,3289,6024,17987,8301,18074,7557,2889,227,0,1951,3413,6092,0,0,239,63,0,4,5,106,3085,0,1875,156,0,1678,2872,817,0,0,116,43,0
280300,Itabaianinha,42166,630,1353,2494,6741,3431,6913,3091,757,0,0,677,1397,2131,0,0,64,20,0,0,2,121,1744,0,508,0,0,237,1177,1146,0,0,8,15,0
280310,Itabi,4886,115,264,446,1208,703,1038,660,98,0,0,105,283,389,0,0,6,4,0,0,0,8,145,0,91,0,0,104,280,178,0,0,3,4,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,5381,3116,5411,2694,606,0,0,464,1383,1750,0,0,52,17,0,0,1,48,1090,0,559,0,0,234,1122,747,0,0,18,14,0
280330,Japaratuba,18907,302,670,1215,3995,2230,3281,1922,290,0,0,298,704,1069,0,317,35,10,0,0,2,64,467,25,264,0,0,294,650,407,0,301,0,6,0
280340,Japoatã,13429,208,477,734,2930,1255,2497,1099,219,0,0,257,497,768,0,524,27,13,0,0,0,9,183,0,209,0,0,86,464,326,0,0,4,10,0
280350,Lagarto,105221,1941,4108,7217,23390,10990,20905,9521,3793,48,0,2027,4152,6736,0,661,179,65,0,7,13,269,2955,0,2767,46,0,830,3559,2263,0,0,17,39,0
280360,Laranjeiras,30080,269,727,1448,7260,2165,5990,1863,573,0,0,295,713,1232,0,1992,100,22,0,0,7,44,1012,0,428,0,0,112,686,625,0,0,3,9,0
280370,Macambira,6961,178,337,535,1500,925,1365,782,105,0,0,185,318,502,0,0,11,4,0,0,0,9,231,0,98,0,0,145,328,199,0,0,10,2,0
280380,Malhada dos Bois,3699,55,111,180,622,367,599,287,102,0,0,62,124,202,0,0,18,6,0,0,0,0,85,0,97,0,0,51,98,29,0,0,8,4,0
280390,Malhador,12653,203,468,914,2321,1241,2008,1145,154,0,0,222,492,814,0,0,11,10,0,1,0,27,277,0,135,0,0,220,451,320,0,0,9,10,0
280400,Maruim,17271,179,453,898,2581,1481,2564,1257,266,0,0,241,531,989,0,0,48,4,0,0,0,80,405,0,253,0,0,221,489,272,0,0,18,4,0
280410,Moita Bonita,11348,318,611,904,2585,1705,2761,1625,137,0,0,322,607,885,0,0,11,10,0,1,4,122,662,0,131,0,0,321,582,575,0,0,8,8,0
280420,Monte Alegre de Sergipe,15175,183,452,806,2268,1434,1697,1324,201,0,0,210,436,750,0,0,11,5,0,0,8,2,74,0,184,0,0,206,413,521,0,0,0,0,0
280430,Muribeca,7639,120,263,500,1361,671,1440,538,113,0,0,126,283,489,0,0,13,3,0,0,1,1,411,0,99,0,0,60,250,116,0,0,12,1,0
280440,Neópolis,18703,361,698,1274,3716,1906,2887,1572,424,0,0,407,678,1110,0,0,34,10,0,0,0,1,223,0,392,0,0,93,552,507,0,0,26,2,0
280445,Nossa Senhora Aparecida,8809,170,416,645,2000,1310,1882,1259,143,0,0,221,444,631,0,126,7,5,0,0,0,68,237,0,138,0,0,217,441,365,0,89,4,5,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,6396,3031,5433,2458,825,20,0,686,1338,1768,0,0,69,7,0,0,1,142,577,0,640,19,0,642,1118,39,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,5069,3079,4430,2616,596,0,0,544,1050,1682,0,0,63,22,0,2,1,11,459,0,508,0,0,460,925,684,0,0,27,12,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,1333,718,1235,628,125,0,0,131,303,454,0,0,14,3,0,0,0,34,171,0,110,0,0,80,266,172,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,27100,15845,23165,12452,2491,36,0,1472,3834,8447,0,0,424,78,0,6,3,177,6197,0,1627,36,0,1328,3609,5694,0,0,104,54,0
280490,Pacatuba,14540,230,455,822,2254,1179,2314,1106,189,0,0,229,455,780,0,0,8,11,0,0,4,9,629,0,171,0,0,73,433,410,0,0,8,11,0
280500,Pedra Mole,3285,65,121,245,654,379,643,356,66,0,0,68,145,206,0,0,7,1,0,0,0,27,123,0,65,0,0,68,139,78,0,0,5,1,0
280510,Pedrinhas,9665,156,335,604,1653,843,1390,804,147,0,0,183,397,529,0,0,11,8,0,0,0,0,115,0,117,0,0,53,373,248,0,0,9,4,0
280520,Pinhão,6627,134,336,524,1421,891,1140,865,88,0,0,127,319,479,0,0,10,7,0,0,0,27,83,0,84,0,0,125,315,328,0,0,8,5,0
280530,Pirambu,9359,130,267,522,1801,986,1783,840,161,0,0,157,263,497,0,229,27,3,0,0,1,9,436,0,156,0,0,152,252,259,0,0,18,3,0
280540,Poço Redondo,35122,399,1056,1672,5576,3126,4944,3205,427,0,0,495,1103,1330,0,316,36,17,0,2,0,19,1199,0,356,0,0,473,1126,1234,0,0,7,9,0
280550,Poço Verde,23867,576,1241,1828,5381,2771,4590,2371,388,0,0,545,1107,1763,0,140,15,9,0,0,1,170,452,0,383,0,0,181,1102,694,0,0,4,7,0
280560,Porto da Folha,28693,477,1002,1660,5472,2947,5032,3059,439,0,260,500,1054,1605,0,408,46,11,0,0,0,79,630,0,400,0,260,495,1020,858,0,0,15,11,0
280570,Propriá,29692,524,990,1914,5759,2503,5454,2416,1082,21,0,579,998,1724,0,0,142,20,0,2,2,16,868,0,885,21,0,193,923,332,0,0,53,9,0
280580,Riachão do Dantas,19809,386,781,1181,4018,2063,3915,1955,304,0,0,468,870,1169,0,231,24,4,0,0,1,52,792,0,301,0,0,219,839,586,0,0,6,4,0
280590,Riachuelo,10284,116,275,517,1825,915,1463,851,219,0,0,133,253,508,0,162,17,7,0,0,2,0,162,0,203,0,0,68,228,332,0,0,13,7,0
280600,Ribeirópolis,18773,438,892,1340,3998,2443,3965,2300,398,49,0,414,841,1234,0,0,37,15,0,1,0,122,854,0,346,49,0,410,838,630,0,0,24,3,0
280610,Rosário do Catete,11008,97,240,544,1709,954,1645,913,283,0,0,130,333,441,0,0,34,10,0,0,3,10,401,0,267,0,0,123,286,195,0,0,33,9,0
280620,Salgado,20025,352,780,1250,3672,2117,3433,2079,287,0,0,409,840,1246,0,0,12,9,0,0,0,42,588,0,265,0,0,406,839,554,0,0,7,8,0
280630,Santa Luzia do Itanhy,14121,156,374,758,4466,896,3725,689,183,0,0,187,391,723,0,1882,11,11,0,0,0,46,291,0,150,0,0,112,280,136,0,0,0,11,0
280650,Santa Rosa de Lima,3923,88,163,403,878,473,713,460,104,0,0,93,175,241,0,0,18,3,0,0,0,3,76,0,95,0,0,27,169,161,0,0,5,3,0
280640,Santana do São Francisco,7844,111,218,472,992,552,1110,518,124,0,0,137,259,356,0,0,7,3,0,0,0,22,202,0,97,0,0,53,234,125,0,0,6,3,0
280660,Santo Amaro das Brotas,12151,205,399,774,2148,1244,2111,923,173,0,0,236,420,785,0,0,27,10,0,0,0,0,460,0,167,0,0,227,337,174,0,0,14,4,0
280670,São Cristóvão,91093,989,2400,5663,14697,6782,13502,6083,1403,27,0,1074,2211,4973,0,30,246,49,0,8,3,101,3377,0,1010,26,0,377,2129,2482,0,0,39,20,0
280680,São Domingos,11207,218,488,817,2171,1306,2041,1228,187,0,0,191,479,755,0,0,18,15,0,0,0,131,265,0,150,0,0,191,476,392,0,0,6,13,0
280690,São Francisco,3781,64,138,246,704,379,613,337,80,0,0,63,116,236,0,0,11,1,0,0,0,7,99,0,73,0,0,20,112,120,0,0,11,1,0
280700,São Miguel do Aleixo,3947,83,169,283,839,529,704,432,90,0,0,94,184,288,0,0,8,2,0,0,0,4,34,0,90,0,0,93,184,60,0,0,5,0,0
280710,Simão Dias,40606,914,1749,2657,8455,4490,7008,3934,855,12,0,1129,1841,2543,0,254,91,22,0,0,4,39,218,0,757,12,0,486,1632,997,0,0,37,13,0
280720,Siriri,8970,154,316,533,1758,973,1532,905,156,0,0,162,305,468,0,168,10,1,0,0,1,42,219,0,135,0,0,157,297,306,0,0,9,1,0
280730,Telha,3249,49,100,178,589,339,600,334,88,0,0,59,102,188,0,0,12,4,0,0,0,2,145,0,82,0,0,27,101,114,0,0,6,4,0
280740,Tobias Barreto,52530,1046,2188,3513,10363,5838,9641,5253,1126,33,0,1305,2098,3113,0,0,183,33,0,0,0,141,1609,0,956,33,0,457,2023,1663,0,0,88,33,0
280750,Tomar do Geru,13535,208,446,760,2206,1136,1699,1001,176,0,0,204,442,672,0,0,14,1,0,0,0,20,170,0,135,0,0,131,376,350,0,0,9,0,0
280760,Umbaúba,25550,308,725,1482,4098,2028,3686,1890,447,0,0,370,720,1375,0,0,24,24,0,0,0,120,606,0,408,0,0,133,663,652,0,0,18,16,0
