date,last_available_confirmed,last_available_deaths,new_confirmed,new_deaths,mean_confirmed,mean_deaths,pct_change_confirmed,pct_change_deaths
2020-11-18,86361,2266,88,3,102.57142857142857,2.7142857142857144,0.086232980332829,-0.5
2020-11-19,86612,2270,251,4,115.42857142857143,2.857142857142857,0.26447574334898283,-0.4444444444444444
2020-11-20,86847,2274,235,4,136.28571428571428,2.857142857142857,0.16911764705882337,-0.4117647058823529
2020-11-21,87089,2274,242,0,158.42857142857142,2.4285714285714284,0.2322222222222221,-0.48484848484848486
2020-11-22,87248,2275,159,1,171.85714285714286,2.2857142857142856,0.18522167487684738,-0.5
2020-11-23,87477,2279,229,4,190.14285714285714,2.7142857142857144,0.34989858012170383,-0.2962962962962963
2020-11-24,87800,2283,323,4,218.14285714285714,2.857142857142857,0.5315947843530593,-0.13043478260869557
2020-11-25,88100,2288,300,5,248.42857142857142,3.142857142857143,0.8618843683083512,0.1578947368421051
2020-11-26,88661,2292,561,4,292.7142857142857,3.142857142857143,1.0613682092555332,0.1578947368421051
2020-11-27,88999,2296,338,4,307.42857142857144,3.142857142857143,1.5619047619047621,0.1578947368421051
2020-11-28,89507,2300,508,4,345.42857142857144,3.7142857142857144,2.2068965517241383,0.4444444444444444
2020-11-29,89998,2304,491,4,392.85714285714283,4.142857142857143,3.116766467065868,0.8125000000000002
2020-11-30,90148,2308,150,4,381.57142857142856,4.142857142857143,2.992526158445441,0.8125000000000002
2020-12-01,90386,2312,238,4,369.42857142857144,4.142857142857143,2.699570815450644,0.7058823529411768
2020-12-02,90920,2316,534,4,402.85714285714283,4.0,2.927576601671309,0.4736842105263157
2020-12-03,91718,2320,798,4,436.7142857142857,4.0,2.7834158415841586,0.3999999999999999
2020-12-04,91793,2324,75,4,399.14285714285717,4.0,1.9287211740041932,0.3999999999999999
2020-12-05,91854,2329,61,5,335.2857142857143,4.142857142857143,1.1163210099188459,0.7058823529411768
2020-12-06,94451,2333,2597,4,636.1428571428571,4.142857142857143,2.701579384871155,0.8125000000000002
2020-12-07,95174,2337,723,4,718.0,4.142857142857143,2.77610818933133,0.5263157894736843
2020-12-08,95493,2341,319,4,729.5714285714286,4.142857142857143,2.344466273739358,0.4500000000000002
2020-12-09,96346,2346,853,5,775.1428571428571,4.285714285714286,2.120184013801035,0.36363636363636354
2020-12-10,96990,2351,644,5,753.1428571428571,4.428571428571429,1.5729624206930208,0.40909090909090917
2020-12-11,97562,2356,572,5,824.1428571428571,4.571428571428571,1.6807620817843865,0.4545454545454546
2020-12-12,98472,2361,910,5,945.4285714285714,4.571428571428571,1.7369727047146402,0.23076923076923062
2020-12-13,99151,2365,679,4,671.4285714285714,4.571428571428571,0.7090909090909092,0.10344827586206873
2020-12-14,99753,2370,602,5,654.1428571428571,4.714285714285714,0.7143391988019467,0.13793103448275845
2020-12-15,100371,2374,618,4,696.8571428571429,4.714285714285714,0.8863109048723898,0.13793103448275845
2020-12-16,101148,2381,777,7,686.0,5.0,0.7028368794326243,0.25
