data,leitos_publico,ocupacao_publico,leitos_privado,ocupacao_privado,taxa_publico,taxa_privado
2021-02-06,172,82,82,56,0.47674418604651164,0.6829268292682927
2021-02-07,172,85,82,62,0.4941860465116279,0.7560975609756098
2021-02-08,172,81,82,56,0.47093023255813954,0.6829268292682927
2021-02-09,172,86,82,59,0.5,0.7195121951219512
2021-02-10,172,85,82,63,0.4941860465116279,0.7682926829268293
2021-02-11,172,83,82,57,0.48255813953488375,0.6951219512195121
2021-02-12,172,89,81,56,0.5174418604651163,0.691358024691358
2021-02-13,172,93,81,57,0.5406976744186046,0.7037037037037037
2021-02-14,172,93,81,59,0.5406976744186046,0.7283950617283951
2021-02-15,172,88,81,62,0.5116279069767442,0.7654320987654321
2021-02-16,172,90,87,62,0.5232558139534884,0.7126436781609196
2021-02-17,172,97,88,60,0.563953488372093,0.6818181818181818
2021-02-18,172,96,97,76,0.5581395348837209,0.7835051546391752
2021-02-19,172,97,97,77,0.563953488372093,0.7938144329896907
2021-02-20,172,96,97,82,0.5581395348837209,0.845360824742268
2021-02-21,172,100,97,85,0.5813953488372093,0.8762886597938144
2021-02-22,172,102,102,90,0.5930232558139535,0.8823529411764706
2021-02-23,172,95,102,80,0.5523255813953488,0.7843137254901961
2021-02-24,172,103,112,84,0.5988372093023255,0.75
2021-02-25,172,108,112,89,0.627906976744186,0.7946428571428571
2021-02-26,172,104,114,89,0.6046511627906976,0.7807017543859649
2021-02-27,172,100,114,87,0.5813953488372093,0.7631578947368421
2021-02-28,172,98,123,98,0.5697674418604651,0.7967479674796748
2021-03-01,172,98,130,107,0.5697674418604651,0.823076923076923
2021-03-02,172,104,130,107,0.6046511627906976,0.823076923076923
2021-03-03,172,105,130,114,0.6104651162790697,0.8769230769230769
2021-03-04,172,112,129,115,0.6511627906976745,0.8914728682170543
2021-03-05,172,121,138,120,0.7034883720930233,0.8695652173913043
2021-03-06,172,125,143,123,0.7267441860465116,0.8601398601398601
2021-03-07,172,132,145,124,0.7674418604651163,0.8551724137931035
2021-03-08,172,138,144,135,0.8023255813953488,0.9375
2021-03-09,183,136,144,136,0.7431693989071039,0.9444444444444444
2021-03-10,183,144,148,145,0.7868852459016393,0.9797297297297297
2021-03-11,183,150,152,151,0.819672131147541,0.993421052631579
2021-03-12,183,152,155,147,0.8306010928961749,0.9483870967741935
2021-03-13,183,154,155,149,0.8415300546448088,0.9612903225806452
2021-03-14,183,155,155,150,0.8469945355191257,0.967741935483871
2021-03-15,183,161,156,162,0.8797814207650273,1.0384615384615385
2021-03-16,185,166,161,161,0.8972972972972973,1.0
2021-03-17,185,157,161,161,0.8486486486486486,1.0
2021-03-18,185,161,161,170,0.8702702702702703,1.0559006211180124
2021-03-19,205,172,161,166,0.8390243902439024,1.031055900621118
2021-03-20,220,178,169,178,0.8090909090909091,1.0532544378698225
2021-03-21,220,172,169,182,0.7818181818181819,1.0769230769230769
2021-03-22,220,186,169,200,0.8454545454545455,1.183431952662722
2021-03-23,220,193,169,194,0.8772727272727273,1.1479289940828403
2021-03-24,221,192,169,196,0.8687782805429864,1.1597633136094674
2021-03-25,221,200,167,183,0.9049773755656109,1.095808383233533
2021-03-26,227,204,167,184,0.8986784140969163,1.1017964071856288
2021-03-27,227,205,167,179,0.9030837004405287,1.0718562874251496
2021-03-28,227,203,167,181,0.8942731277533039,1.0838323353293413
2021-03-29,227,197,170,186,0.8678414096916299,1.0941176470588236
2021-03-30,227,198,170,186,0.8722466960352423,1.0941176470588236
2021-03-31,227,207,167,190,0.9118942731277533,1.1377245508982037
2021-04-01,227,206,167,183,0.9074889867841409,1.095808383233533
2021-04-02,227,204,167,187,0.8986784140969163,1.1197604790419162
2021-04-03,227,208,167,186,0.9162995594713657,1.1137724550898203
2021-04-04,227,207,167,182,0.9118942731277533,1.089820359281437
2021-04-05,227,214,167,179,0.9427312775330396,1.0718562874251496
2021-04-06,227,217,167,169,0.9559471365638766,1.0119760479041917
2021-04-07,227,214,167,160,0.9427312775330396,0.9580838323353293
2021-04-08,227,204,167,173,0.8986784140969163,1.035928143712575
2021-04-09,227,206,167,176,0.9074889867841409,1.0538922155688624
2021-04-10,227,210,167,169,0.9251101321585903,1.0119760479041917
2021-04-11,227,211,177,166,0.9295154185022027,0.9378531073446328
2021-04-12,227,214,177,189,0.9427312775330396,1.0677966101694916
2021-04-13,227,220,177,185,0.9691629955947136,1.0451977401129944
2021-04-14,229,210,192,183,0.9170305676855895,0.953125
2021-04-15,229,220,192,189,0.9606986899563319,0.984375
2021-04-16,229,220,192,179,0.9606986899563319,0.9322916666666666
2021-04-17,229,218,192,190,0.9519650655021834,0.9895833333333334
2021-04-18,229,215,192,188,0.9388646288209607,0.9791666666666666
2021-04-19,226,218,192,193,0.9646017699115044,1.0052083333333333
2021-04-20,225,218,192,195,0.9688888888888889,1.015625
2021-04-21,232,225,192,192,0.9698275862068966,1.0
2021-04-22,233,224,200,188,0.9613733905579399,0.94
2021-04-23,233,220,200,194,0.944206008583691,0.97
2021-04-24,233,227,200,187,0.9742489270386266,0.935
2021-04-25,233,222,200,186,0.9527896995708155,0.93
2021-04-26,233,226,200,197,0.9699570815450643,0.985
2021-04-27,231,227,200,193,0.9826839826839827,0.965
2021-04-28,231,227,200,188,0.9826839826839827,0.94
2021-04-29,231,228,200,189,0.987012987012987,0.945
2021-04-30,233,229,200,183,0.9828326180257511,0.915
2021-05-01,233,220,200,190,0.944206008583691,0.95
2021-05-02,233,223,200,187,0.9570815450643777,0.935
2021-05-03,233,229,200,185,0.9828326180257511,0.925
2021-05-04,231,228,200,171,0.987012987012987,0.855
2021-05-05,231,226,200,162,0.9783549783549783,0.81
2021-05-06,229,224,200,167,0.9781659388646288,0.835
2021-05-07,230,227,200,163,0.9869565217391304,0.815
2021-05-08,238,218,184,160,0.9159663865546218,0.8695652173913043
2021-05-09,238,219,184,154,0.9201680672268907,0.8369565217391305
2021-05-10,231,225,185,157,0.974025974025974,0.8486486486486486
2021-05-11,230,221,185,172,0.9608695652173913,0.9297297297297298
2021-05-12,228,218,185,158,0.956140350877193,0.8540540540540541
2021-05-13,234,220,185,173,0.9401709401709402,0.9351351351351351
2021-05-14,236,221,185,166,0.9364406779661016,0.8972972972972973
2021-05-15,236,221,185,172,0.9364406779661016,0.9297297297297298
2021-05-16,234,213,185,180,0.9102564102564102,0.972972972972973
2021-05-17,237,220,185,168,0.9282700421940928,0.9081081081081082
2021-05-18,235,215,185,164,0.9148936170212766,0.8864864864864865
2021-05-19,236,224,190,176,0.9491525423728814,0.9263157894736842
2021-05-20,236,219,190,174,0.9279661016949152,0.9157894736842105
2021-05-21,237,217,190,170,0.9156118143459916,0.8947368421052632
